itemCollection_fp_lightmedparts,type,qty,weight
mechdef_cephaluss_CEP-S,MechPart,1,1
mechdef_commandos_COM-S,MechPart,1,1
mechdef_hollanders_BZK-FS,MechPart,1,1
mechdef_mongooses_MON-S,MechPart,1,1
mechdef_stingers_STG-S,MechPart,1,1
mechdef_urbanmechs_UM-S,MechPart,1,1
mechdef_valiants_V4-LNT-S,MechPart,1,1
mechdef_valkyries_VLK-S,MechPart,1,1
mechdef_wolfhounds_WLF-S1,MechPart,1,1
mechdef_wolfhounds_WLF-S2,MechPart,1,1
mechdef_adders_ADR-S,MechPart,1,1
mechdef_arcticcheetahs_ACH-S,MechPart,1,1
mechdef_cougars_CGR-S,MechPart,1,1
mechdef_firemoths_FM-S,MechPart,1,1
mechdef_incubuss_INC-S,MechPart,1,1
mechdef_kitfoxs_KFX-S1,MechPart,1,1
mechdef_kitfoxs_KFX-S2,MechPart,1,1
mechdef_mistlynxs_MLX-S,MechPart,1,1
mechdef_piranhas_PIR-S,MechPart,1,1
mechdef_bushwackers_BSW-XS,MechPart,1,1
mechdef_cicadas_CDA-S,MechPart,1,1
mechdef_crabs_CRB-S1,MechPart,1,1
mechdef_crabs_CRB-S2,MechPart,1,1
mechdef_dervishs_DV-S,MechPart,1,1
mechdef_griffins_GRF-S,MechPart,1,1
mechdef_griffins_GRF-S2,MechPart,1,1
mechdef_hatchetmans_HCT-S,MechPart,1,1
mechdef_hellspawns_HSN-S,MechPart,1,1
mechdef_hunchbacks_HBK-S1,MechPart,1,1
mechdef_hunchbacks_HBK-S2,MechPart,1,1
mechdef_hunchbacks_HBK-S3,MechPart,1,1
mechdef_huronws_HUR-WO-S,MechPart,1,1
mechdef_phoenixhawks_PXH-S,MechPart,1,1
mechdef_shadowhawks_SHD-S1,MechPart,1,1
mechdef_shadowhawks_SHD-S2,MechPart,1,1
mechdef_taloss_TLS-S,MechPart,1,1
mechdef_uziels_UZL-S,MechPart,1,1
mechdef_wolverines_WVR-S,MechPart,1,1
mechdef_blacklanners_BKL-S,MechPart,1,1
mechdef_hellhounds_HEH-S,MechPart,1,1
mechdef_huntsmans_HMN-S,MechPart,1,1
mechdef_medusas_MED-S1,MechPart,1,1
mechdef_medusas_MED-S2,MechPart,1,1
mechdef_novas_NVA-S1,MechPart,1,1
mechdef_novas_NVA-S2,MechPart,1,1
mechdef_septicemias_PRI-S,MechPart,1,1
mechdef_shadowcats_SHC-S,MechPart,1,1
mechdef_stormcrows_SCR-S1,MechPart,1,1
mechdef_stormcrows_SCR-S2,MechPart,1,1
mechdef_vaporeagles_VGL-S,MechPart,1,1
mechdef_vipers_VPR-S1,MechPart,1,1
mechdef_vipers_VPR-S2,MechPart,1,1
